"","city.state","Year","n","lon","lat","geoAddress"
"118","Danville , VA",1971,1,-79.3950228,36.5859718,"danville, va, usa"
"119","Danville , VA",1974,1,-79.3950228,36.5859718,"danville, va, usa"
"120","Daytona Beach , FL",1965,2,-81.0228331,29.2108147,"daytona beach, fl, usa"
"121","Daytona Beach , FL",1966,3,-81.0228331,29.2108147,"daytona beach, fl, usa"
"122","Daytona Beach , FL",1968,4,-81.0228331,29.2108147,"daytona beach, fl, usa"
"123","Daytona Beach , FL",1969,3,-81.0228331,29.2108147,"daytona beach, fl, usa"
"124","Daytona Beach , FL",1971,2,-81.0228331,29.2108147,"daytona beach, fl, usa"
"125","Daytona Beach , FL",1974,3,-81.0228331,29.2108147,"daytona beach, fl, usa"
"126","Decatur , AL",1971,1,-86.9833417,34.6059253,"decatur, al, usa"
"127","Dillon , SC",1974,1,-79.3711579,34.4165505,"dillon, sc 29536, usa"
"128","Dothan , AL",1971,2,-85.3904888,31.2232313,"dothan, al, usa"
"129","Durham , NC",1965,2,-78.898619,35.9940329,"durham, nc, usa"
"130","Durham , NC",1966,2,-78.898619,35.9940329,"durham, nc, usa"
"131","Durham , NC",1968,2,-78.898619,35.9940329,"durham, nc, usa"
"132","Durham , NC",1969,2,-78.898619,35.9940329,"durham, nc, usa"
"133","Durham , NC",1971,2,-78.898619,35.9940329,"durham, nc, usa"
"134","Durham , NC",1974,1,-78.898619,35.9940329,"durham, nc, usa"
"135","El Paso , TX",1965,5,-106.4850217,31.7618778,"el paso, tx, usa"
"136","El Paso , TX",1966,7,-106.4850217,31.7618778,"el paso, tx, usa"
"137","El Paso , TX",1968,5,-106.4850217,31.7618778,"el paso, tx, usa"
"138","El Paso , TX",1969,6,-106.4850217,31.7618778,"el paso, tx, usa"
"139","El Paso , TX",1971,7,-106.4850217,31.7618778,"el paso, tx, usa"
"140","El Paso , TX",1974,3,-106.4850217,31.7618778,"el paso, tx, usa"
"141","Fayetteville , NC",1965,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"142","Fayetteville , NC",1966,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"143","Fayetteville , NC",1968,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"144","Fayetteville , NC",1969,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"145","Fayetteville , NC",1971,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"146","Fayetteville , NC",1974,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"147","Fayetteville , SC",1974,1,-78.8783585,35.0526641,"fayetteville, nc, usa"
"148","Florence , SC",1974,2,-79.7625625,34.1954331,"florence, sc, usa"
"149","Ft. Lauderdale , FL",1965,4,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"150","Ft. Lauderdale , FL",1966,2,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"151","Ft. Lauderdale , FL",1968,4,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"152","Ft. Lauderdale , FL",1969,5,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"153","Ft. Lauderdale , FL",1971,8,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"154","Ft. Lauderdale , FL",1974,6,-80.1373174,26.1224386,"fort lauderdale, fl, usa"
"155","Ft. Myers , FL",1965,1,-81.8723084,26.640628,"fort myers, fl, usa"
"156","Ft. Myers , FL",1966,2,-81.8723084,26.640628,"fort myers, fl, usa"
"157","Ft. Myers , FL",1968,2,-81.8723084,26.640628,"fort myers, fl, usa"
"158","Ft. Myers , FL",1969,2,-81.8723084,26.640628,"fort myers, fl, usa"
"159","Ft. Myers , FL",1971,2,-81.8723084,26.640628,"fort myers, fl, usa"
"160","Ft. Myers , FL",1974,2,-81.8723084,26.640628,"fort myers, fl, usa"
"161","Ft. Smith , AR",1971,1,-94.3985475,35.3859242,"fort smith, ar, usa"
"162","Ft. Smith , AR",1974,2,-94.3985475,35.3859242,"fort smith, ar, usa"
"163","Ft. Worth , TX",1966,1,-97.3307658,32.7554883,"fort worth, tx, usa"
"164","Ft. Worth , TX",1968,1,-97.3307658,32.7554883,"fort worth, tx, usa"
"165","Ft. Worth , TX",1969,2,-97.3307658,32.7554883,"fort worth, tx, usa"
"166","Ft. Worth , TX",1971,5,-97.3307658,32.7554883,"fort worth, tx, usa"
"167","Ft. Worth , TX",1974,2,-97.3307658,32.7554883,"fort worth, tx, usa"
"168","Gainesville , FL",1968,1,-82.3248262,29.6516344,"gainesville, fl, usa"
"169","Gainsville , FL",1969,1,-82.3248262,29.6516344,"gainesville, fl, usa"
"170","Gainsville , FL",1971,1,-82.3248262,29.6516344,"gainesville, fl, usa"
"171","Gainsville , FL",1974,3,-82.3248262,29.6516344,"gainesville, fl, usa"
"172","Galveston , TX",1965,2,-94.7976958,29.3013479,"galveston, tx, usa"
"173","Galveston , TX",1966,4,-94.7976958,29.3013479,"galveston, tx, usa"
"174","Galveston , TX",1968,3,-94.7976958,29.3013479,"galveston, tx, usa"
"175","Galveston , TX",1969,8,-94.7976958,29.3013479,"galveston, tx, usa"
"176","Galveston , TX",1971,2,-94.7976958,29.3013479,"galveston, tx, usa"
"177","Galveston , TX",1974,2,-94.7976958,29.3013479,"galveston, tx, usa"
"178","Greensboro , NC",1968,1,-79.7919754,36.0726354,"greensboro, nc, usa"
"179","Greensboro , NC",1969,1,-79.7919754,36.0726354,"greensboro, nc, usa"
"180","Greensboro , NC",1971,1,-79.7919754,36.0726354,"greensboro, nc, usa"
"181","Greensboro , NC",1974,1,-79.7919754,36.0726354,"greensboro, nc, usa"
"182","Greenville , NC",1971,1,-77.3663538,35.612661,"greenville, nc, usa"
"183","Greenville , SC",1968,1,-82.3940104,34.8526176,"greenville, sc, usa"
"184","Greenville , SC",1969,1,-82.3940104,34.8526176,"greenville, sc, usa"
"185","Greenville , SC",1971,1,-82.3940104,34.8526176,"greenville, sc, usa"
"186","Greenville , SC",1974,1,-82.3940104,34.8526176,"greenville, sc, usa"
"187","Greenwood , SC",1974,1,-82.1617883,34.1954001,"greenwood, sc, usa"
"188","Gulfport , MS",1971,1,-89.0928155,30.3674198,"gulfport, ms, usa"
"189","Gulfport , MS",1974,1,-89.0928155,30.3674198,"gulfport, ms, usa"
"190","Hallandale , FL",1968,1,-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"191","Hallandale , FL",1969,2,-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"192","Hallandale , FL",1971,2,-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"193","Hattiesburg , MS",1965,1,-89.2903392,31.3271189,"hattiesburg, ms, usa"
"194","Hattiesburg , MS",1966,1,-89.2903392,31.3271189,"hattiesburg, ms, usa"
"195","Hattiesburg , MS",1968,1,-89.2903392,31.3271189,"hattiesburg, ms, usa"
"196","Hattiesburg , MS",1969,1,-89.2903392,31.3271189,"hattiesburg, ms, usa"
"197","Hollywood , FL",1968,1,-80.1494901,26.0112014,"hollywood, fl, usa"
"198","Hollywood , FL",1969,1,-80.1494901,26.0112014,"hollywood, fl, usa"
"199","Hollywood , FL",1971,1,-80.1494901,26.0112014,"hollywood, fl, usa"
"200","Hot Springs , AR",1966,2,-93.0551795,34.5037004,"hot springs, ar, usa"
"201","Hot Springs , AR",1968,2,-93.0551795,34.5037004,"hot springs, ar, usa"
"202","Hot Springs , AR",1969,2,-93.0551795,34.5037004,"hot springs, ar, usa"
"203","Hot Springs , AR",1971,3,-93.0551795,34.5037004,"hot springs, ar, usa"
"204","Hot Springs , AR",1974,1,-93.0551795,34.5037004,"hot springs, ar, usa"
"205","Houston , TX",1965,13,-95.3698028,29.7604267,"houston, tx, usa"
"206","Houston , TX",1966,15,-95.3698028,29.7604267,"houston, tx, usa"
"207","Houston , TX",1968,14,-95.3698028,29.7604267,"houston, tx, usa"
"208","Houston , TX",1969,24,-95.3698028,29.7604267,"houston, tx, usa"
"209","Houston , TX",1971,26,-95.3698028,29.7604267,"houston, tx, usa"
"210","Houston , TX",1974,5,-95.3698028,29.7604267,"houston, tx, usa"
"211","Humble , TX",1968,1,-95.2621553,29.9988312,"humble, tx, usa"
"212","Humble , TX",1969,1,-95.2621553,29.9988312,"humble, tx, usa"
"213","Humble , TX",1971,1,-95.2621553,29.9988312,"humble, tx, usa"
"214","Huntsville , AL",1971,2,-86.5861037,34.7303688,"huntsville, al, usa"
"215","Jackson , MS",1965,3,-90.1848103,32.2987573,"jackson, ms, usa"
"216","Jackson , MS",1966,2,-90.1848103,32.2987573,"jackson, ms, usa"
"217","Jackson , MS",1968,2,-90.1848103,32.2987573,"jackson, ms, usa"
"218","Jackson , MS",1969,1,-90.1848103,32.2987573,"jackson, ms, usa"
"219","Jackson , MS",1971,1,-90.1848103,32.2987573,"jackson, ms, usa"
"220","Jackson , MS",1974,2,-90.1848103,32.2987573,"jackson, ms, usa"
"221","Jackson , TN",1965,2,-88.8139469,35.6145169,"jackson, tn, usa"
"222","Jackson , TN",1966,2,-88.8139469,35.6145169,"jackson, tn, usa"
"223","Jackson , TN",1968,2,-88.8139469,35.6145169,"jackson, tn, usa"
"224","Jackson , TN",1969,2,-88.8139469,35.6145169,"jackson, tn, usa"
"225","Jackson , TN",1971,1,-88.8139469,35.6145169,"jackson, tn, usa"
"226","Jackson , TN",1974,2,-88.8139469,35.6145169,"jackson, tn, usa"
"227","Jacksonville , FL",1965,3,-81.655651,30.3321838,"jacksonville, fl, usa"
"228","Jacksonville , FL",1966,3,-81.655651,30.3321838,"jacksonville, fl, usa"
"229","Jacksonville , FL",1968,4,-81.655651,30.3321838,"jacksonville, fl, usa"
"230","Jacksonville , FL",1969,5,-81.655651,30.3321838,"jacksonville, fl, usa"
"231","Jacksonville , FL",1971,4,-81.655651,30.3321838,"jacksonville, fl, usa"
"232","Jacksonville , FL",1974,2,-81.655651,30.3321838,"jacksonville, fl, usa"
"233","Jacksonville Beach , FL",1965,2,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"234","Jacksonville Beach , FL",1966,2,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"235","Jacksonville Beach , FL",1968,3,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"236","Jacksonville Beach , FL",1969,1,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"237","Jacksonville Beach , FL",1971,2,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"238","Jacksonville Beach , FL",1974,1,-81.3961338,30.2841224,"jacksonville beach, fl, usa"
"239","Key West , FL",1968,1,-81.7799871,24.5550593,"key west, fl 33040, usa"
"240","Key West , FL",1969,2,-81.7799871,24.5550593,"key west, fl 33040, usa"
"241","Key West , FL",1971,3,-81.7799871,24.5550593,"key west, fl 33040, usa"
"242","Key West , FL",1974,2,-81.7799871,24.5550593,"key west, fl 33040, usa"
"243","Killeen , TX",1974,1,-97.7277959,31.1171194,"killeen, tx, usa"
"244","Knoxville , TN",1965,3,-83.9207392,35.9606384,"knoxville, tn, usa"
"245","Knoxville , TN",1966,3,-83.9207392,35.9606384,"knoxville, tn, usa"
"246","Knoxville , TN",1968,3,-83.9207392,35.9606384,"knoxville, tn, usa"
"247","Knoxville , TN",1969,3,-83.9207392,35.9606384,"knoxville, tn, usa"
"248","Knoxville , TN",1971,3,-83.9207392,35.9606384,"knoxville, tn, usa"
"249","Knoxville , TN",1974,1,-83.9207392,35.9606384,"knoxville, tn, usa"
"250","Lafayette , LA",1966,1,-92.0198427,30.2240897,"lafayette, la, usa"
"251","Lafayette , LA",1968,1,-92.0198427,30.2240897,"lafayette, la, usa"
"252","Lafayette , LA",1969,1,-92.0198427,30.2240897,"lafayette, la, usa"
"253","Lafayette , LA",1974,1,-92.0198427,30.2240897,"lafayette, la, usa"
"254","Lake Charles , LA",1968,1,-93.2173758,30.2265949,"lake charles, la, usa"
"255","Lake Charles , LA",1971,2,-93.2173758,30.2265949,"lake charles, la, usa"
"256","Lake Charles , LA",1974,1,-93.2173758,30.2265949,"lake charles, la, usa"
"257","Lake Worth , FL",1971,1,-80.0684479,26.6167555,"lake worth, fl, usa"
"258","Laredo , TX",1974,1,-99.5075519,27.5035613,"laredo, tx, usa"
"259","Lexington , KY",1965,1,-84.5037164,38.0405837,"lexington, ky, usa"
"260","Lexington , KY",1966,1,-84.5037164,38.0405837,"lexington, ky, usa"
"261","Lexington , KY",1968,1,-84.5037164,38.0405837,"lexington, ky, usa"
"262","Lexington , KY",1969,2,-84.5037164,38.0405837,"lexington, ky, usa"
"263","Lexington , KY",1971,2,-84.5037164,38.0405837,"lexington, ky, usa"
"264","Lexington , KY",1974,2,-84.5037164,38.0405837,"lexington, ky, usa"
"265","Little Rock , AR",1965,1,-92.2895948,34.7464809,"little rock, ar, usa"
"266","Little Rock , AR",1966,1,-92.2895948,34.7464809,"little rock, ar, usa"
"267","Little Rock , AR",1968,1,-92.2895948,34.7464809,"little rock, ar, usa"
"268","Little Rock , AR",1969,2,-92.2895948,34.7464809,"little rock, ar, usa"
"269","Little Rock , AR",1971,2,-92.2895948,34.7464809,"little rock, ar, usa"
"270","Little Rock , AR",1974,3,-92.2895948,34.7464809,"little rock, ar, usa"
"271","Louisville , KY",1965,2,-85.7584557,38.2526647,"louisville, ky, usa"
"272","Louisville , KY",1966,2,-85.7584557,38.2526647,"louisville, ky, usa"
"273","Louisville , KY",1968,2,-85.7584557,38.2526647,"louisville, ky, usa"
"274","Louisville , KY",1969,3,-85.7584557,38.2526647,"louisville, ky, usa"
"275","Louisville , KY",1971,4,-85.7584557,38.2526647,"louisville, ky, usa"
"276","Louisville , KY",1974,5,-85.7584557,38.2526647,"louisville, ky, usa"
"277","Macon , GA",1965,1,-83.6324022,32.8406946,"macon, ga, usa"
"278","Macon , GA",1966,1,-83.6324022,32.8406946,"macon, ga, usa"
"279","Macon , GA",1968,1,-83.6324022,32.8406946,"macon, ga, usa"
"280","Macon , GA",1969,1,-83.6324022,32.8406946,"macon, ga, usa"
"281","Macon , GA",1971,1,-83.6324022,32.8406946,"macon, ga, usa"
"282","McAllen , TX",1969,3,-98.2300124,26.2034071,"mcallen, tx, usa"
"283","McAllen , TX",1971,4,-98.2300124,26.2034071,"mcallen, tx, usa"
"284","McAllen , TX",1974,1,-98.2300124,26.2034071,"mcallen, tx, usa"
"285","Memphis , TN",1965,6,-90.0489801,35.1495343,"memphis, tn, usa"
"286","Memphis , TN",1966,7,-90.0489801,35.1495343,"memphis, tn, usa"
"287","Memphis , TN",1968,7,-90.0489801,35.1495343,"memphis, tn, usa"
"288","Memphis , TN",1969,4,-90.0489801,35.1495343,"memphis, tn, usa"
"289","Memphis , TN",1971,2,-90.0489801,35.1495343,"memphis, tn, usa"
"290","Memphis , TN",1974,2,-90.0489801,35.1495343,"memphis, tn, usa"
"291","Meridian , MS",1971,1,-88.703656,32.3643098,"meridian, ms, usa"
"292","Meridian , MS",1974,1,-88.703656,32.3643098,"meridian, ms, usa"
"293","Metarie , LA",1968,1,-90.1528519,29.9840922,"metairie, la, usa"
"294","Metarie , LA",1969,1,-90.1528519,29.9840922,"metairie, la, usa"
"295","Miami , FL",1965,12,-80.1917902,25.7616798,"miami, fl, usa"
"296","Miami , FL",1966,11,-80.1917902,25.7616798,"miami, fl, usa"
"297","Miami , FL",1968,18,-80.1917902,25.7616798,"miami, fl, usa"
"298","Miami , FL",1969,22,-80.1917902,25.7616798,"miami, fl, usa"
"299","Miami , FL",1971,20,-80.1917902,25.7616798,"miami, fl, usa"
"300","Miami , FL",1974,5,-80.1917902,25.7616798,"miami, fl, usa"
"301","Miami Beach , FL",1965,4,-80.1300455,25.790654,"miami beach, fl, usa"
"302","Miami Beach , FL",1966,4,-80.1300455,25.790654,"miami beach, fl, usa"
"303","Miami Beach , FL",1968,8,-80.1300455,25.790654,"miami beach, fl, usa"
"304","Miami Beach , FL",1969,8,-80.1300455,25.790654,"miami beach, fl, usa"
"305","Miami Beach , FL",1971,8,-80.1300455,25.790654,"miami beach, fl, usa"
"306","Miami Beach , FL",1974,3,-80.1300455,25.790654,"miami beach, fl, usa"
"307","Midland , TX",1969,1,-102.0779146,31.9973456,"midland, tx, usa"
"308","Mobile , AL",1965,2,-88.0398912,30.6953657,"mobile, al, usa"
"309","Mobile , AL",1966,2,-88.0398912,30.6953657,"mobile, al, usa"
"310","Mobile , AL",1968,2,-88.0398912,30.6953657,"mobile, al, usa"
"311","Mobile , AL",1969,4,-88.0398912,30.6953657,"mobile, al, usa"
"312","Mobile , AL",1971,4,-88.0398912,30.6953657,"mobile, al, usa"
"313","Mobile , AL",1974,2,-88.0398912,30.6953657,"mobile, al, usa"
"314","Monroe , LA",1971,1,-92.1193012,32.5093109,"monroe, la, usa"
"315","Montgomery , AL",1965,3,-86.3077368,32.3792233,"montgomery, al, usa"
"316","Montgomery , AL",1966,3,-86.3077368,32.3792233,"montgomery, al, usa"
"317","Montgomery , AL",1968,3,-86.3077368,32.3792233,"montgomery, al, usa"
"318","Montgomery , AL",1969,2,-86.3077368,32.3792233,"montgomery, al, usa"
"319","Montgomery , AL",1971,1,-86.3077368,32.3792233,"montgomery, al, usa"
"320","Myrtle Beach , SC",1971,2,-78.8866943,33.6890603,"myrtle beach, sc, usa"
"321","Myrtle Beach , SC",1974,1,-78.8866943,33.6890603,"myrtle beach, sc, usa"
"322","Nashville , TN",1965,2,-86.7816016,36.1626638,"nashville, tn, usa"
"323","Nashville , TN",1966,4,-86.7816016,36.1626638,"nashville, tn, usa"
"324","Nashville , TN",1968,4,-86.7816016,36.1626638,"nashville, tn, usa"
"325","Nashville , TN",1969,4,-86.7816016,36.1626638,"nashville, tn, usa"
"326","Nashville , TN",1971,3,-86.7816016,36.1626638,"nashville, tn, usa"
"327","New Orleans , LA",1965,9,-90.0715323,29.9510658,"new orleans, la, usa"
"328","New Orleans , LA",1966,12,-90.0715323,29.9510658,"new orleans, la, usa"
